dem_req_rate	req_rate_192.168.33.100	con_rate_192.168.33.100	min_rep_rate_192.168.33.100	avg_rep_rate_192.168.33.100	max_rep_rate_192.168.33.100	stddev_rep_rate_192.168.33.100	resp_time_192.168.33.100	net_io_192.168.33.100	errors_192.168.33.100
20	13.4	13.4	0.0	0.0	0.0	0.0	1825.2	104.7	0
22	22.1	22.1	0.0	0.0	0.0	0.0	24.9	172.6	0
24	24.2	24.2	0.0	0.0	0.0	0.0	24.6	188.8	0
26	26.2	26.2	0.0	0.0	0.0	0.0	25.5	204.0	0
28	28.3	28.3	0.0	0.0	0.0	0.0	26.4	220.2	0
30	30.2	30.2	0.0	0.0	0.0	0.0	24.0	235.2	0
32	32.1	32.1	0.0	0.0	0.0	0.0	24.8	250.3	0
34	34.1	34.1	0.0	0.0	0.0	0.0	26.1	265.6	0
36	35.2	35.2	0.0	0.0	0.0	0.0	65.0	274.5	0
38	34.4	34.4	0.0	0.0	0.0	0.0	145.8	268.1	0
40	33.6	33.6	0.0	0.0	0.0	0.0	207.2	262.1	0
42	32.6	32.6	0.0	0.0	0.0	0.0	303.1	254.0	0
44	32.6	32.6	0.0	0.0	0.0	0.0	338.3	253.8	0
46	32.7	32.7	0.0	0.0	0.0	0.0	389.1	254.8	0
48	32.9	32.9	0.0	0.0	0.0	0.0	386.3	256.5	0
50	32.7	32.7	0.0	0.0	0.0	0.0	452.4	254.7	0
52	31.3	31.3	0.0	0.0	0.0	0.0	514.9	244.1	0
54	29.5	29.5	0.0	0.0	0.0	0.0	649.8	229.6	0
56	22.0	22.0	0.0	0.0	0.0	0.0	1156.2	171.7	0
58	31.8	31.8	0.0	0.0	0.0	0.0	845.0	247.6	0
60	32.4	32.4	0.0	0.0	0.0	0.0	870.8	252.5	0
62	33.0	33.0	0.0	0.0	0.0	0.0	849.4	257.0	0
64	32.4	32.4	0.0	0.0	0.0	0.0	893.1	252.4	0
66	32.2	32.2	0.0	0.0	0.0	0.0	931.6	251.2	0
68	32.9	32.9	0.0	0.0	0.0	0.0	893.3	256.4	0
70	32.2	32.2	0.0	0.0	0.0	0.0	934.3	251.3	0
72	31.5	31.5	0.0	0.0	0.0	0.0	949.1	245.3	0
74	32.4	32.4	0.0	0.0	0.0	0.0	953.6	252.4	0
76	32.1	32.1	0.0	0.0	0.0	0.0	938.1	250.6	0
78	32.5	32.5	0.0	0.0	0.0	0.0	957.1	253.6	0
80	27.4	27.4	0.0	0.0	0.0	0.0	1167.5	213.8	0
82	30.3	30.3	0.0	0.0	0.0	0.0	993.4	236.3	0
84	32.2	32.2	0.0	0.0	0.0	0.0	912.4	251.2	0
86	32.5	32.5	0.0	0.0	0.0	0.0	872.9	253.3	0
88	32.9	32.9	0.0	0.0	0.0	0.0	895.6	256.0	0
90	32.3	32.3	0.0	0.0	0.0	0.0	929.3	251.7	0
92	33.1	33.1	0.0	0.0	0.0	0.0	961.5	258.0	0
94	31.6	31.6	0.0	0.0	0.0	0.0	1007.3	246.0	0
96	32.6	32.6	0.0	0.0	0.0	0.0	1003.7	254.3	0
98	31.6	31.6	0.0	0.0	0.0	0.0	1063.5	246.3	0
100	33.3	33.3	0.0	0.0	0.0	0.0	1028.0	259.3	0
102	31.8	31.8	0.0	0.0	0.0	0.0	1102.4	248.2	0
104	29.5	29.5	0.0	0.0	0.0	0.0	1241.8	230.2	0
106	31.8	31.8	0.0	0.0	0.0	0.0	1148.2	248.1	0
108	31.9	31.9	0.0	0.0	0.0	0.0	1139.2	248.9	0
110	21.6	21.6	0.0	0.0	0.0	0.0	1882.4	168.6	0
112	9.2	9.2	0.0	0.0	0.0	0.0	4869.1	36.3	92.3076923076923
114	30.1	30.1	0.0	0.0	0.0	0.0	1283.7	119.0	0
116	46.5	46.5	0.0	0.0	0.0	0.0	758.6	183.9	0
118	49.6	49.6	0.0	0.0	0.0	0.0	685.8	196.0	0
120	49.0	49.0	0.0	0.0	0.0	0.0	690.2	194.0	0
122	48.6	48.6	0.0	0.0	0.0	0.0	748.8	192.4	0
124	48.8	48.8	0.0	0.0	0.0	0.0	707.1	193.0	0
126	47.8	47.8	0.0	0.0	0.0	0.0	783.7	189.0	0
128	47.9	47.9	0.0	0.0	0.0	0.0	761.5	189.3	0
130	47.2	47.2	0.0	0.0	0.0	0.0	801.9	186.8	0
