dem_req_rate	req_rate_192.168.33.101	con_rate_192.168.33.101	min_rep_rate_192.168.33.101	avg_rep_rate_192.168.33.101	max_rep_rate_192.168.33.101	stddev_rep_rate_192.168.33.101	resp_time_192.168.33.101	net_io_192.168.33.101	errors_192.168.33.101
20	20.2	20.2	0.0	0.0	0.0	0.0	17.8	157.7	0
22	22.3	22.3	0.0	0.0	0.0	0.0	18.4	173.6	0
24	24.2	24.2	0.0	0.0	0.0	0.0	18.0	188.7	0
26	26.3	26.3	0.0	0.0	0.0	0.0	19.9	204.7	0
28	28.3	28.3	0.0	0.0	0.0	0.0	18.9	220.2	0
30	30.3	30.3	0.0	0.0	0.0	0.0	18.3	236.2	0
32	32.3	32.3	0.0	0.0	0.0	0.0	18.2	251.7	0
34	34.2	34.2	0.0	0.0	0.0	0.0	18.2	266.2	0
36	35.9	35.9	0.0	0.0	0.0	0.0	20.4	279.4	0
38	38.2	38.2	0.0	0.0	0.0	0.0	18.6	297.8	0
40	40.2	40.2	0.0	0.0	0.0	0.0	18.1	313.5	0
42	42.1	42.1	0.0	0.0	0.0	0.0	18.0	328.4	0
44	44.2	44.2	0.0	0.0	0.0	0.0	18.0	344.7	0
46	46.3	46.3	0.0	0.0	0.0	0.0	18.1	360.5	0
48	48.1	48.1	0.0	0.0	0.0	0.0	18.5	374.7	0
50	49.9	49.9	0.0	0.0	0.0	0.0	19.2	389.3	0
52	52.1	52.1	0.0	0.0	0.0	0.0	18.5	406.2	0
54	54.1	54.1	0.0	0.0	0.0	0.0	19.4	421.7	0
56	56.0	56.0	0.0	0.0	0.0	0.0	19.5	436.3	0
58	58.1	58.1	0.0	0.0	0.0	0.0	18.5	452.5	0
60	60.0	60.0	0.0	0.0	0.0	0.0	18.8	467.3	0
62	61.6	61.6	0.0	0.0	0.0	0.0	19.3	480.3	0
64	63.7	63.7	0.0	0.0	0.0	0.0	19.6	496.4	0
66	65.6	65.6	0.0	0.0	0.0	0.0	20.2	511.2	0
68	67.7	67.7	0.0	0.0	0.0	0.0	19.8	527.9	0
70	69.3	69.3	0.0	0.0	0.0	0.0	19.3	540.4	0
72	71.4	71.4	0.0	0.0	0.0	0.0	19.9	556.8	0
74	73.5	73.5	0.0	0.0	0.0	0.0	20.2	573.1	0
76	75.2	75.2	0.0	0.0	0.0	0.0	21.0	586.5	0
78	77.6	77.6	0.0	0.0	0.0	0.0	20.5	604.7	0
80	79.1	79.1	0.0	0.0	0.0	0.0	19.8	616.8	0
82	80.8	80.8	0.0	0.0	0.0	0.0	19.9	630.0	0
84	82.2	82.2	0.0	0.0	0.0	0.0	24.0	640.5	0
86	85.1	85.1	0.0	0.0	0.0	0.0	20.6	663.5	0
88	86.8	86.8	0.0	0.0	0.0	0.0	21.6	676.5	0
90	88.5	88.5	0.0	0.0	0.0	0.0	23.1	689.9	0
92	90.6	90.6	0.0	0.0	0.0	0.0	22.4	706.1	0
94	92.2	92.2	0.0	0.0	0.0	0.0	21.7	718.6	0
96	94.3	94.3	0.0	0.0	0.0	0.0	22.8	735.0	0
98	96.3	96.3	0.0	0.0	0.0	0.0	21.4	750.9	0
100	97.8	97.8	0.0	0.0	0.0	0.0	24.5	762.6	0
102	100.4	100.4	0.0	0.0	0.0	0.0	22.4	782.8	0
104	100.8	100.8	0.0	0.0	0.0	0.0	23.8	785.4	0
106	104.2	104.2	0.0	0.0	0.0	0.0	24.9	812.0	0
108	105.7	105.7	0.0	0.0	0.0	0.0	23.7	824.1	0
110	107.1	107.1	0.0	0.0	0.0	0.0	23.7	835.0	0
112	109.3	109.3	0.0	0.0	0.0	0.0	23.9	852.1	0
