procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 556752  20344 178284    0    0    17    55   96  371  3  2 94  0  0
 1  0      0 556124  20344 178408    0    0     0     0 1157 5947 10 10 80  0  0
 1  0      0 555900  20352 178412    0    0     0    92 1123 5974 10  9 81  0  0
 0  0      0 556028  20352 178416    0    0     0     0 1073 5927  9 11 81  0  0
 1  0      0 555924  20352 178420    0    0     0     0 1126 5913  9 10 81  0  0
 0  0      0 556024  20352 178424    0    0     0     0 1059 5921  9 11 81  0  0
 0  0      0 556276  20352 178428    0    0     0     0 1088 6070 12  7 81  0  0
 0  0      0 556224  20360 178432    0    0     0    16 1063 5944 11  8 80  0  0
 0  0      0 555892  20360 178436    0    0     0    88 1226 6062  9 10 80  0  0
 0  0      0 555928  20360 178440    0    0     0     0 1221 6004 10 10 80  0  0
 0  0      0 556152  20360 178444    0    0     0     0 1047 5838  7 13 80  0  0
 0  0      0 556048  20360 178444    0    0     0     0 1094 5940  9 11 80  0  0
 0  0      0 556200  20368 178448    0    0     0    16 1124 5944  8 11 81  0  0
 0  0      0 556200  20368 178452    0    0     0     0 1174 6038  9 10 80  0  0
 0  0      0 556272  20368 178456    0    0     0     0 1131 5883  8 11 81  0  0
 0  0      0 555908  20368 178460    0    0     0     0 1173 5969  8 13 80  0  0
 1  0      0 556244  20368 178464    0    0     0     0 1089 5949 10 10 80  0  0
 1  0      0 555996  20376 178468    0    0     0    16 1137 5965  9 10 81  0  0
 2  0      0 556472  20376 178472    0    0     0     0 1112 5968 11  9 80  0  0
 2  0      0 556324  20376 178476    0    0     0     0 1117 5994 10  9 81  0  0
 1  0      0 556448  20376 178480    0    0     0     0 1153 6013  9 10 81  0  0
 1  0      0 555892  20376 178484    0    0     0     0 1222 6087 10  9 80  0  0
 1  0      0 556124  20384 178488    0    0     0    16 1136 5935  9 10 81  0  0
 1  0      0 555900  20384 178488    0    0     0     4 1114 5905  8 11 81  0  0
 1  0      0 556128  20384 178492    0    0     0     0 1104 5934  9 10 81  0  0
 1  0      0 556044  20384 178496    0    0     0     0 1121 5929  9 10 81  0  0
 1  0      0 556156  20384 178500    0    0     0     0 1038 5877  9 11 80  0  0
 1  0      0 555652  20392 178508    0    0     0    16 1130 5993 10 10 80  0  0
 1  0      0 555676  20392 178512    0    0     0     0 1167 6040 10 10 80  0  0
 1  0      0 556052  20392 178516    0    0     0     0 1080 5845 10  9 81  0  0
 1  0      0 555800  20392 178520    0    0     0     0 1185 6036  9 10 80  0  0
 1  0      0 556048  20392 178524    0    0     0     0 1178 6000  9 10 81  0  0
 1  0      0 556032  20400 178528    0    0     0    16 1163 5987  8 11 81  0  0
 1  0      0 555856  20400 178532    0    0     0   268 1150 5988  9 10 81  0  0
 2  0      0 555980  20400 178536    0    0     0     0 1102 5893  8 12 79  0  0
