procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 557596  21840 178216    0    0    17     3   92  364  3  2 94  0  0
 0  0      0 556984  21840 178340    0    0     0     0 1066 5866  9 10 80  0  0
 1  0      0 557508  21840 178344    0    0     0    84 1002 5810  9 11 81  0  0
 2  0      0 557176  21840 178348    0    0     0     0 1076 5884 10 10 80  0  0
 2  0      0 557404  21840 178352    0    0     0     0 1056 5929 10 10 80  0  0
 1  0      0 557380  21840 178356    0    0     0     0 1213 6006 11  9 80  0  0
 1  0      0 557536  21840 178360    0    0     0    68 1106 5977 11  8 81  0  0
 1  0      0 557332  21840 178364    0    0     0    16 1155 6019 10  9 81  0  0
 1  0      0 557456  21840 178368    0    0     0     0 1164 6014 11  9 80  0  0
 1  0      0 557544  21840 178368    0    0     0     0 1190 6019 11  9 79  0  0
 1  0      0 557568  21840 178372    0    0     0     0 1077 5869  9 12 80  0  0
 1  0      0 557004  21840 178376    0    0     0     8 1215 6057 11  9 80  0  0
 1  0      0 557292  21840 178380    0    0     0    28 1161 5970  8 12 79  0  0
 1  0      0 557732  21840 178384    0    0     0     0 1193 6070 11  8 81  0  0
 1  0      0 557192  21840 178388    0    0     0     0 1210 6035 12  7 81  0  0
 1  0      0 556976  21840 178392    0    0     0     0 1161 6060 12  8 80  0  0
 1  0      0 557044  21840 178396    0    0     0     0 1174 5790 16 12 73  0  0
 1  0      0 556912  21840 178400    0    0     0    16 1192 5918 14 13 73  0  0
 1  0      0 557172  21840 178404    0    0     0     0 1200 6054 12 10 79  0  0
 1  0      0 557400  21840 178408    0    0     0     0 1143 5950 10  9 81  0  0
 0  0      0 557544  21840 178412    0    0     0     0 1121 5957  8  9 83  0  0
 1  0      0 557488  21840 178416    0    0     0     0 1156 6060 10  8 83  0  0
 0  0      0 557084  21840 178416    0    0     0    16 1056 6046 10  7 84  0  0
 1  0      0 557544  21840 178420    0    0     0     0 1151 6026 10  8 82  0  0
 1  0      0 557116  21840 178424    0    0     0     0 1180 5996 11  9 80  0  0
 0  0      0 557476  21840 178428    0    0     0     0 1065 5856 11 10 79  0  0
 0  0      0 557496  21840 178432    0    0     0     0 1182 5993  9  9 82  0  0
 0  0      0 557296  21840 178432    0    0     0    16 1197 6091  7  9 84  0  0
 0  0      0 557336  21840 178440    0    0     0     0 1199 6043  8  9 83  0  0
 0  0      0 556888  21840 178444    0    0     0     0 1054 5886  8  8 83  0  0
 0  0      0 557060  21840 178444    0    0     0     0 1108 6022 10  6 83  0  0
 0  0      0 557232  21840 178452    0    0     0   260 1194 6056  9  9 83  0  0
 0  0      0 556860  21840 178456    0    0     0    36 1143 6041  9  7 84  0  0
 0  0      0 556840  21840 178460    0    0     0     0 1138 5920  9 13 79  0  0
 0  0      0 556900  21840 178460    0    0     0     0 1150 5998 12  9 79  0  0
 0  0      0 557148  21840 178464    0    0     0     0 1124 6009 10  7 83  0  0
 0  0      0 557420  21840 178468    0    0     0     0 1109 5916 11  9 80  0  0
 0  0      0 557008  21840 178472    0    0     0    16 1138 5760 14 14 72  0  0
 0  0      0 557024  21840 178476    0    0     0     0 1116 5817 11 11 78  0  0
 1  0      0 556788  21840 178480    0    0     0     0 1069 5972  9  8 83  0  0
 1  0      0 557220  21840 178484    0    0     0     0 1128 6006  9  8 83  0  0
 2  0      0 557044  21840 178488    0    0     0    28 1061 5929  7 10 83  0  0
 1  0      0 557248  21840 178492    0    0     0    16 1022 5932  8  9 83  0  0
 1  0      0 556900  21840 178496    0    0     0     0 1111 5996 10  7 83  0  0
 1  0      0 557076  21840 178500    0    0     0     0 1118 5957 11  8 81  0  0
 1  0      0 557324  21840 178504    0    0     0     0 1084 5985 10  9 82  0  0
 1  0      0 557172  21840 178504    0    0     0     4 1072 5993  9  8 84  0  0
 1  0      0 556892  21840 178508    0    0     0    16 1134 6051  9  8 83  0  0
 1  0      0 556976  21840 178512    0    0     0     0 1111 6012  8  9 84  0  0
 1  0      0 557024  21840 178516    0    0     0     0 1011 5934  9  8 84  0  0
 1  0      0 557400  21840 178520    0    0     0     0 1087 5980  9  7 84  0  0
 1  0      0 557232  21840 178524    0    0     0     0 1115 6032  8 10 82  0  0
 1  0      0 557076  21840 178528    0    0     0    16 1126 6009  9  8 83  0  0
 1  0      0 557276  21840 178532    0    0     0     0 1129 6004  9  8 84  0  0
 1  0      0 556860  21840 178536    0    0     0     0 1110 5968  9  8 83  0  0
 1  0      0 556960  21840 178540    0    0     0     0 1103 5937  8  8 84  0  0
 1  0      0 556912  21840 178544    0    0     0     0 1125 6000  9  9 83  0  0
 1  0      0 556952  21840 178552    0    0     0    16 1095 5991  8  8 83  0  0
 1  0      0 556900  21840 178552    0    0     0     0 1084 5988 10  8 82  0  0
 2  0      0 556852  21840 178556    0    0     0     0 1070 5823 10  9 80  0  0
 2  0      0 557192  21840 178560    0    0     0     0 1166 6016 11 10 78  0  0
 1  0      0 557248  21840 178564    0    0     0   112 1094 5994  8  9 83  0  0
 1  0      0 556776  21840 178568    0    0     0    28 1060 5982  9  8 83  0  0
 1  0      0 556628  21840 178572    0    0     0     0 1109 6014  8  8 84  0  0
 1  0      0 556564  21840 178576    0    0     0     0 1080 5975 10  7 83  0  0
 0  0      0 557028  21840 178580    0    0     0     0 1132 6007 10  7 83  0  0
 0  0      0 556580  21840 178584    0    0     0     0 1164 6003  8  9 83  0  0
 0  0      0 556828  21840 178588    0    0     0    16 1182 6062  9  8 83  0  0
 0  0      0 556776  21840 178592    0    0     0     0 1203 5972 11 11 78  0  0
 0  0      0 556628  21840 178596    0    0     0     0 1067 5913  9  9 82  0  0
 1  0      0 556704  21840 178600    0    0     0     0 1061 5968  8  9 83  0  0
 0  0      0 556924  21840 178600    0    0     0     0 1137 6009 10  8 82  0  0
 0  0      0 556720  21840 178604    0    0     0    16 1041 5970 11  6 83  0  0
 0  0      0 556752  21840 178608    0    0     0     0 1131 6069  9  8 84  0  0
 0  0      0 556976  21840 178612    0    0     0     0 1023 5924  9  8 83  0  0
 1  0      0 556860  21840 178616    0    0     0     0 1081 6015  8  7 85  0  0
 0  0      0 557112  21840 178620    0    0     0    12 1065 5997  9  7 84  0  0
 0  0      0 557084  21840 178624    0    0     0    16 1035 5943  9  7 85  0  0
