starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 07 08:07:25 2018	1523088445	0	12	12	12
Sat Apr 07 08:07:21 2018	1523088441	0	12	12	12
Sat Apr 07 08:07:31 2018	1523088451	0	12	13	12
Sat Apr 07 08:07:29 2018	1523088449	0	12	13	12
Sat Apr 07 08:07:31 2018	1523088451	0	12	13	12
Sat Apr 07 08:07:30 2018	1523088450	0	13	14	13
Sat Apr 07 08:07:29 2018	1523088449	0	13	14	13
Sat Apr 07 08:07:28 2018	1523088448	0	13	14	13
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	14	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:18 2018	1523088438	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:32 2018	1523088452	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	1	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:32 2018	1523088452	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	14	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	14	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	14	14
Sat Apr 07 08:07:18 2018	1523088438	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:21 2018	1523088441	1	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	14	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	14	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	14	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	14	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	14	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	14	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	14	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	14	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:18 2018	1523088438	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:32 2018	1523088452	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:18 2018	1523088438	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:32 2018	1523088452	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	1	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	1	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	1	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	1	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	1	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:16 2018	1523088436	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	1	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:16 2018	1523088436	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:16 2018	1523088436	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	1	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	1	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	15	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	14	15	14
Sat Apr 07 08:07:18 2018	1523088438	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:32 2018	1523088452	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:23 2018	1523088443	0	14	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	15	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:16 2018	1523088436	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	15	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:20 2018	1523088440	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	15	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:23 2018	1523088443	0	15	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:26 2018	1523088446	0	14	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	1	14	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	15	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	15	15	14
Sat Apr 07 08:07:23 2018	1523088443	0	15	15	14
Sat Apr 07 08:07:21 2018	1523088441	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	15	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:22 2018	1523088442	0	15	15	14
Sat Apr 07 08:07:30 2018	1523088450	0	14	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	15	15	14
Sat Apr 07 08:07:27 2018	1523088447	0	15	15	14
Sat Apr 07 08:07:25 2018	1523088445	0	15	15	15
Sat Apr 07 08:07:22 2018	1523088442	0	15	15	14
Sat Apr 07 08:07:31 2018	1523088451	0	14	15	14
Sat Apr 07 08:07:28 2018	1523088448	0	15	15	14
Sat Apr 07 08:07:17 2018	1523088437	0	14	15	14
Sat Apr 07 08:07:19 2018	1523088439	0	14	15	14
Sat Apr 07 08:07:29 2018	1523088449	0	15	15	14
Sat Apr 07 08:07:24 2018	1523088444	1	14	15	14
Sat Apr 07 08:07:16 2018	1523088436	0	14	15	14
Sat Apr 07 08:07:24 2018	1523088444	0	15	15	15
Sat Apr 07 08:07:19 2018	1523088439	0	15	15	14
