starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 07 08:07:38 2018	1523088458	0	10	11	10
Sat Apr 07 08:07:44 2018	1523088464	0	11	11	11
Sat Apr 07 08:07:47 2018	1523088467	0	13	13	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	13	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	13	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	13	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	13	13
Sat Apr 07 08:07:38 2018	1523088458	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:38 2018	1523088458	0	13	13	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	13	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	13	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	13	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	13	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	13	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	13	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	13	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	13	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	13	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	13	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	13	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	13	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	13	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	13	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	13	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	13	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	13	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	13	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	13	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	13	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	13	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	13	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	14	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:36 2018	1523088456	0	13	14	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	14	13
Sat Apr 07 08:07:36 2018	1523088456	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:38 2018	1523088458	0	13	14	13
Sat Apr 07 08:07:38 2018	1523088458	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	14	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:45 2018	1523088465	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:32 2018	1523088452	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:32 2018	1523088452	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:36 2018	1523088456	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:39 2018	1523088459	0	13	14	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	14	13
Sat Apr 07 08:07:35 2018	1523088455	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:32 2018	1523088452	0	13	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:41 2018	1523088461	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	1	13	14	13
Sat Apr 07 08:07:42 2018	1523088462	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	14	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	14	13
Sat Apr 07 08:07:36 2018	1523088456	0	13	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	13	14	13
Sat Apr 07 08:07:36 2018	1523088456	0	13	14	13
Sat Apr 07 08:07:33 2018	1523088453	0	13	14	13
Sat Apr 07 08:07:43 2018	1523088463	0	13	14	13
Sat Apr 07 08:07:47 2018	1523088467	0	13	14	13
Sat Apr 07 08:07:46 2018	1523088466	0	13	14	13
Sat Apr 07 08:07:44 2018	1523088464	0	13	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	13	14	13
