dem_req_rate	req_rate_192.168.33.100	con_rate_192.168.33.100	min_rep_rate_192.168.33.100	avg_rep_rate_192.168.33.100	max_rep_rate_192.168.33.100	stddev_rep_rate_192.168.33.100	resp_time_192.168.33.100	net_io_192.168.33.100	errors_192.168.33.100
20	20.3	20.3	0.0	0.0	0.0	0.0	543.5	158.1	0
22	22.3	22.3	0.0	0.0	0.0	0.0	15.1	173.8	0
24	24.3	24.3	0.0	0.0	0.0	0.0	14.6	189.3	0
26	26.3	26.3	0.0	0.0	0.0	0.0	15.1	205.1	0
28	28.3	28.3	0.0	0.0	0.0	0.0	14.9	220.8	0
30	30.3	30.3	0.0	0.0	0.0	0.0	14.8	236.4	0
32	32.3	32.3	0.0	0.0	0.0	0.0	14.9	251.8	0
34	34.3	34.3	0.0	0.0	0.0	0.0	15.1	267.1	0
36	36.3	36.3	0.0	0.0	0.0	0.0	15.4	282.7	0
38	38.3	38.3	0.0	0.0	0.0	0.0	15.1	298.6	0
40	40.3	40.3	0.0	0.0	0.0	0.0	15.1	314.1	0
42	42.3	42.3	0.0	0.0	0.0	0.0	15.1	329.7	0
44	44.3	44.3	0.0	0.0	0.0	0.0	14.8	345.5	0
46	46.3	46.3	0.0	0.0	0.0	0.0	15.0	360.6	0
48	48.1	48.1	0.0	0.0	0.0	0.0	14.9	374.9	0
50	50.1	50.1	0.0	0.0	0.0	0.0	15.0	390.6	0
52	52.2	52.2	0.0	0.0	0.0	0.0	15.8	407.0	0
54	54.2	54.2	0.0	0.0	0.0	0.0	15.4	422.3	0
56	55.9	55.9	0.0	0.0	0.0	0.0	15.1	436.0	0
58	58.1	58.1	0.0	0.0	0.0	0.0	16.6	452.6	0
60	60.1	60.1	0.0	0.0	0.0	0.0	15.6	468.6	0
62	62.0	62.0	0.0	0.0	0.0	0.0	15.0	483.1	0
64	64.0	64.0	0.0	0.0	0.0	0.0	15.2	499.2	0
66	62.7	62.7	0.0	0.0	0.0	0.0	60.0	488.7	0
68	58.0	58.0	0.0	0.0	0.0	0.0	125.8	452.1	0
70	58.8	58.8	0.0	0.0	0.0	0.0	117.1	458.4	0
72	60.4	60.4	0.0	0.0	0.0	0.0	135.2	470.6	0
74	55.3	55.3	0.0	0.0	0.0	0.0	257.1	431.2	0
76	59.1	59.1	0.0	0.0	0.0	0.0	194.4	460.4	0
78	58.5	58.5	0.0	0.0	0.0	0.0	204.8	456.2	0
80	57.5	57.5	0.0	0.0	0.0	0.0	225.3	448.4	0
82	56.3	56.3	0.0	0.0	0.0	0.0	249.6	439.0	0
84	54.8	54.8	0.0	0.0	0.0	0.0	260.3	427.0	0
86	55.7	55.7	0.0	0.0	0.0	0.0	288.5	433.9	0
88	52.2	52.2	0.0	0.0	0.0	0.0	446.3	406.9	0
90	58.6	58.6	0.0	0.0	0.0	0.0	318.7	456.4	0
92	58.8	58.8	0.0	0.0	0.0	0.0	333.7	458.1	0
94	58.9	58.9	0.0	0.0	0.0	0.0	335.0	459.1	0
96	58.4	58.4	0.0	0.0	0.0	0.0	349.7	454.9	0
98	58.1	58.1	0.0	0.0	0.0	0.0	347.8	452.8	0
100	56.4	56.4	0.0	0.0	0.0	0.0	362.8	439.3	0
102	58.3	58.3	0.0	0.0	0.0	0.0	375.8	454.7	0
104	53.2	53.2	0.0	0.0	0.0	0.0	458.4	414.8	0
106	58.4	58.4	0.0	0.0	0.0	0.0	403.9	455.4	0
108	58.5	58.5	0.0	0.0	0.0	0.0	405.6	456.2	0
110	57.4	57.4	0.0	0.0	0.0	0.0	419.1	447.4	0
112	57.4	57.4	0.0	0.0	0.0	0.0	412.2	447.6	0
114	56.3	56.3	0.0	0.0	0.0	0.0	431.3	439.0	0
116	54.5	54.5	0.0	0.0	0.0	0.0	445.1	424.7	0
118	54.5	54.5	0.0	0.0	0.0	0.0	479.3	424.6	0
120	50.9	50.9	0.0	0.0	0.0	0.0	623.7	396.4	0
122	46.1	46.1	0.0	0.0	0.0	0.0	703.0	359.2	0
124	55.0	55.0	0.0	0.0	0.0	0.0	595.0	428.9	0
126	58.0	58.0	0.0	0.0	0.0	0.0	565.9	452.2	0
128	57.9	57.9	0.0	0.0	0.0	0.0	574.2	451.5	0
130	58.0	58.0	0.0	0.0	0.0	0.0	582.3	451.9	0
132	57.0	57.0	0.0	0.0	0.0	0.0	591.2	444.5	0
134	58.3	58.3	0.0	0.0	0.0	0.0	578.6	454.4	0
136	58.2	58.2	0.0	0.0	0.0	0.0	593.4	453.4	0
138	57.1	57.1	0.0	0.0	0.0	0.0	615.3	444.8	0
140	56.5	56.5	0.0	0.0	0.0	0.0	624.3	440.6	0
142	58.0	58.0	0.0	0.0	0.0	0.0	605.2	451.9	0
144	57.5	57.5	0.0	0.0	0.0	0.0	614.6	448.0	0
