dem_req_rate	req_rate_192.168.33.101	con_rate_192.168.33.101	min_rep_rate_192.168.33.101	avg_rep_rate_192.168.33.101	max_rep_rate_192.168.33.101	stddev_rep_rate_192.168.33.101	resp_time_192.168.33.101	net_io_192.168.33.101	errors_192.168.33.101
20	20.3	20.3	0.0	0.0	0.0	0.0	589.1	158.1	0
22	22.3	22.3	0.0	0.0	0.0	0.0	14.0	173.9	0
24	24.3	24.3	0.0	0.0	0.0	0.0	14.7	189.5	0
26	26.3	26.3	0.0	0.0	0.0	0.0	13.9	205.2	0
28	28.3	28.3	0.0	0.0	0.0	0.0	14.9	220.7	0
30	30.4	30.4	0.0	0.0	0.0	0.0	13.9	236.5	0
32	32.4	32.4	0.0	0.0	0.0	0.0	13.9	252.2	0
34	34.4	34.4	0.0	0.0	0.0	0.0	13.5	267.8	0
36	36.4	36.4	0.0	0.0	0.0	0.0	13.5	283.3	0
38	38.3	38.3	0.0	0.0	0.0	0.0	13.4	298.8	0
40	40.3	40.3	0.0	0.0	0.0	0.0	13.7	314.4	0
42	42.3	42.3	0.0	0.0	0.0	0.0	14.6	329.6	0
44	44.3	44.3	0.0	0.0	0.0	0.0	14.4	345.6	0
46	46.3	46.3	0.0	0.0	0.0	0.0	13.7	361.2	0
48	48.1	48.1	0.0	0.0	0.0	0.0	13.7	375.1	0
50	50.3	50.3	0.0	0.0	0.0	0.0	14.0	392.0	0
52	52.3	52.3	0.0	0.0	0.0	0.0	13.5	407.5	0
54	54.3	54.3	0.0	0.0	0.0	0.0	13.7	422.9	0
56	56.2	56.2	0.0	0.0	0.0	0.0	13.4	438.1	0
58	58.2	58.2	0.0	0.0	0.0	0.0	13.6	453.8	0
60	59.8	59.8	0.0	0.0	0.0	0.0	14.1	466.4	0
62	62.1	62.1	0.0	0.0	0.0	0.0	13.7	484.3	0
64	64.1	64.1	0.0	0.0	0.0	0.0	13.6	499.2	0
66	66.0	66.0	0.0	0.0	0.0	0.0	14.1	514.5	0
68	68.1	68.1	0.0	0.0	0.0	0.0	15.1	530.5	0
70	67.8	67.8	0.0	0.0	0.0	0.0	34.8	528.4	0
72	66.4	66.4	0.0	0.0	0.0	0.0	72.3	517.7	0
74	65.5	65.5	0.0	0.0	0.0	0.0	93.8	510.2	0
76	64.0	64.0	0.0	0.0	0.0	0.0	117.8	499.0	0
78	66.0	66.0	0.0	0.0	0.0	0.0	120.8	514.5	0
80	64.4	64.4	0.0	0.0	0.0	0.0	145.2	501.7	0
82	63.2	63.2	0.0	0.0	0.0	0.0	171.4	492.7	0
84	62.7	62.7	0.0	0.0	0.0	0.0	183.0	488.7	0
86	60.6	60.6	0.0	0.0	0.0	0.0	204.8	472.4	0
88	63.1	63.1	0.0	0.0	0.0	0.0	233.3	491.6	0
90	64.3	64.3	0.0	0.0	0.0	0.0	223.1	500.9	0
92	63.2	63.2	0.0	0.0	0.0	0.0	237.4	492.2	0
94	61.4	61.4	0.0	0.0	0.0	0.0	256.7	478.4	0
96	59.5	59.5	0.0	0.0	0.0	0.0	281.8	463.6	0
98	60.6	60.6	0.0	0.0	0.0	0.0	332.4	472.4	0
100	62.6	62.6	0.0	0.0	0.0	0.0	300.8	488.1	0
102	62.0	62.0	0.0	0.0	0.0	0.0	312.0	483.3	0
104	60.5	60.5	0.0	0.0	0.0	0.0	337.1	471.2	0
106	62.6	62.6	0.0	0.0	0.0	0.0	321.1	487.8	0
108	61.9	61.9	0.0	0.0	0.0	0.0	356.8	482.1	0
110	63.0	63.0	0.0	0.0	0.0	0.0	331.6	491.2	0
