dem_req_rate	req_rate_192.168.33.100	con_rate_192.168.33.100	min_rep_rate_192.168.33.100	avg_rep_rate_192.168.33.100	max_rep_rate_192.168.33.100	stddev_rep_rate_192.168.33.100	resp_time_192.168.33.100	net_io_192.168.33.100	errors_192.168.33.100
20	20.3	20.3	0.0	0.0	0.0	0.0	12.8	80.3	0
22	22.3	22.3	0.0	0.0	0.0	0.0	12.8	88.3	0
24	24.3	24.3	0.0	0.0	0.0	0.0	12.8	96.2	0
26	26.3	26.3	0.0	0.0	0.0	0.0	12.9	104.1	0
28	28.4	28.4	0.0	0.0	0.0	0.0	12.7	112.1	0
30	30.4	30.4	0.0	0.0	0.0	0.0	12.5	120.1	0
32	32.4	32.4	0.0	0.0	0.0	0.0	12.6	128.0	0
34	34.4	34.4	0.0	0.0	0.0	0.0	12.7	136.0	0
36	36.4	36.4	0.0	0.0	0.0	0.0	12.8	143.8	0
38	38.4	38.4	0.0	0.0	0.0	0.0	12.6	151.7	0
40	40.3	40.3	0.0	0.0	0.0	0.0	12.7	159.6	0
42	42.4	42.4	0.0	0.0	0.0	0.0	13.0	167.7	0
44	44.3	44.3	0.0	0.0	0.0	0.0	13.1	175.2	0
46	46.2	46.2	0.0	0.0	0.0	0.0	12.5	182.9	0
48	48.4	48.4	0.0	0.0	0.0	0.0	12.5	191.3	0
50	50.3	50.3	0.0	0.0	0.0	0.0	12.4	199.1	0
52	52.4	52.4	0.0	0.0	0.0	0.0	12.4	207.1	0
54	54.2	54.2	0.0	0.0	0.0	0.0	12.5	214.5	0
56	56.3	56.3	0.0	0.0	0.0	0.0	12.5	222.6	0
58	58.2	58.2	0.0	0.0	0.0	0.0	12.6	230.2	0
60	60.3	60.3	0.0	0.0	0.0	0.0	13.4	238.4	0
62	62.2	62.2	0.0	0.0	0.0	0.0	13.0	245.9	0
64	64.3	64.3	0.0	0.0	0.0	0.0	15.8	254.2	0
66	66.2	66.2	0.0	0.0	0.0	0.0	12.3	261.8	0
68	68.1	68.1	0.0	0.0	0.0	0.0	13.3	269.5	0
70	70.1	70.1	0.0	0.0	0.0	0.0	12.6	277.1	0
72	72.0	72.0	0.0	0.0	0.0	0.0	14.7	284.6	0
74	70.9	70.9	0.0	0.0	0.0	0.0	66.0	280.4	0
76	75.8	75.8	0.0	0.0	0.0	0.0	16.7	299.9	0
78	72.2	72.2	0.0	0.0	0.0	0.0	85.8	285.6	0
80	73.7	73.7	0.0	0.0	0.0	0.0	93.6	291.4	0
82	74.1	74.1	0.0	0.0	0.0	0.0	100.2	293.2	0
84	71.8	71.8	0.0	0.0	0.0	0.0	140.2	283.8	0
86	71.3	71.3	0.0	0.0	0.0	0.0	158.2	281.8	0
88	71.5	71.5	0.0	0.0	0.0	0.0	179.6	282.8	0
90	67.4	67.4	0.0	0.0	0.0	0.0	227.4	266.7	0
92	67.2	67.2	0.0	0.0	0.0	0.0	210.6	265.9	0
94	72.9	72.9	0.0	0.0	0.0	0.0	221.5	288.3	0
96	72.7	72.7	0.0	0.0	0.0	0.0	219.6	287.5	0
98	72.6	72.6	0.0	0.0	0.0	0.0	233.9	287.2	0
100	72.9	72.9	0.0	0.0	0.0	0.0	242.4	288.1	0
102	72.9	72.9	0.0	0.0	0.0	0.0	257.6	288.5	0
104	72.0	72.0	0.0	0.0	0.0	0.0	256.9	284.6	0
106	73.6	73.6	0.0	0.0	0.0	0.0	246.6	291.2	0
108	72.8	72.8	0.0	0.0	0.0	0.0	265.4	287.7	0
110	73.4	73.4	0.0	0.0	0.0	0.0	264.2	290.3	0
112	69.5	69.5	0.0	0.0	0.0	0.0	312.7	274.7	0
114	71.1	71.1	0.0	0.0	0.0	0.0	300.4	281.3	0
116	69.3	69.3	0.0	0.0	0.0	0.0	338.6	274.1	0
118	69.5	69.5	0.0	0.0	0.0	0.0	341.3	274.8	0
120	65.3	65.3	0.0	0.0	0.0	0.0	358.7	258.1	0
122	62.2	62.2	0.0	0.0	0.0	0.0	375.4	246.2	0
124	66.5	66.5	0.0	0.0	0.0	0.0	356.6	263.1	0
126	69.7	69.7	0.0	0.0	0.0	0.0	351.2	275.7	0
128	70.4	70.4	0.0	0.0	0.0	0.0	351.8	278.5	0
130	71.0	71.0	0.0	0.0	0.0	0.0	338.3	280.9	0
132	64.7	64.7	0.0	0.0	0.0	0.0	401.9	256.0	0
134	67.9	67.9	0.0	0.0	0.0	0.0	385.3	268.6	0
136	71.8	71.8	0.0	0.0	0.0	0.0	348.4	283.9	0
138	72.2	72.2	0.0	0.0	0.0	0.0	331.9	285.4	0
140	71.0	71.0	0.0	0.0	0.0	0.0	358.3	280.8	0
142	66.8	66.8	0.0	0.0	0.0	0.0	403.2	264.3	0
144	69.3	69.3	0.0	0.0	0.0	0.0	381.2	274.2	0
146	63.7	63.7	0.0	0.0	0.0	0.0	406.9	251.8	0
148	67.9	67.9	0.0	0.0	0.0	0.0	408.2	268.5	0
