procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 829484   6836  88892    0    0  2562    13  335 1107  9  6 85  0  0
 0  0      0 829220   6836  88896    0    0     0     0  717 1299 26 22 52  0  0
 0  0      0 829220   6836  88900    0    0     0     0  663 1209 30 16 53  0  0
 0  0      0 829220   6844  88904    0    0     0    92  735 1336 37 16 47  0  0
 0  0      0 829296   6844  88904    0    0     0     0  703 1275 28 22 49  0  0
 0  0      0 829400   6844  88908    0    0     0     0  703 1293 28 19 53  0  0
 1  0      0 829420   6844  88912    0    0     0     0  729 1323 30 19 51  0  0
 1  0      0 829416   6844  88916    0    0     0     0  687 1265 28 18 54  0  0
 1  0      0 829060   6852  88920    0    0     0    16  710 1297 29 14 57  0  0
 0  0      0 829420   6852  88924    0    0     0     0  715 1296 28 18 54  0  0
 1  0      0 829344   6852  88928    0    0     0     0  713 1278 29 14 57  0  0
 0  0      0 829344   6852  88932    0    0     0     0  704 1286 33 17 50  0  0
 0  0      0 829360   6852  88936    0    0     0     0  700 1279 26 17 58  0  0
 1  0      0 829364   6860  88940    0    0     0    16  728 1327 29 18 52  0  0
 0  0      0 829348   6860  88944    0    0     0     0  726 1270 25 18 57  0  0
 0  0      0 829348   6860  88948    0    0     0     0  727 1296 27 16 56  0  0
 0  0      0 829240   6860  88952    0    0     0    80  715 1247 31 11 58  0  0
 3  0      0 829220   6860  88952    0    0     0     0  717 1306 29 15 55  0  0
 2  0      0 829004   6868  88956    0    0     0    16  726 1295 29 19 53  0  0
 2  0      0 829004   6868  88960    0    0     0     0  680 1260 24 16 60  0  0
 0  0      0 829240   6868  88964    0    0     0     0  681 1191 22 16 62  0  0
 2  0      0 828880   6868  88968    0    0     0     8  673 1198 18 20 62  0  0
 0  0      0 829240   6868  88972    0    0     0     0  673 1206 22 16 62  0  0
 0  0      0 829224   6876  88976    0    0     0    32  680 1222 22 15 63  0  0
 0  0      0 829096   6876  88980    0    0     0     0  659 1216 24 14 62  0  0
 0  0      0 829096   6876  88984    0    0     0     0  664 1222 27 11 62  0  0
 0  0      0 829096   6876  88988    0    0     0     0  668 1201 20 19 60  0  0
 0  0      0 829096   6876  88992    0    0     0     0  662 1170 20 16 64  0  0
 0  0      0 829112   6884  88996    0    0     0    16  678 1234 22 16 62  0  0
 1  0      0 829116   6884  88996    0    0     0     0  688 1262 29 13 58  0  0
 2  0      0 829004   6884  89000    0    0     0     0  674 1252 29 13 59  0  0
 2  0      0 828824   6884  89004    0    0     0   256  681 1265 26 16 58  0  0
 1  0      0 828972   6884  89008    0    0     0     0  687 1218 24 14 61  0  0
 0  0      0 828972   6892  89012    0    0     0    44  697 1261 25 14 61  0  0
 0  0      0 829044   6892  89016    0    0     0     0  673 1248 26 15 59  0  0
 0  0      0 829048   6892  89020    0    0     0     0  680 1237 23 18 59  0  0
 0  0      0 828904   6892  89024    0    0     0     0  670 1254 30 10 59  0  0
 0  0      0 828904   6892  89028    0    0     0     0  665 1243 30 10 61  0  0
 0  0      0 828904   6900  89032    0    0     0    16  693 1270 23 18 59  0  0
 0  0      0 828904   6900  89036    0    0     0     0  671 1182 20 16 64  0  0
 0  0      0 828840   6900  89040    0    0     0     0  680 1252 21 21 59  0  0
 0  0      0 828848   6900  89040    0    0     0     0  678 1259 29 12 59  0  0
 0  0      0 828848   6900  89044    0    0     0     0  658 1235 27 15 58  0  0
 3  0      0 828844   6908  89048    0    0     0    16  677 1221 20 18 61  0  0
 2  0      0 828628   6908  89052    0    0     0     0  676 1206 23 16 61  0  0
 1  0      0 828864   6908  89056    0    0     0     0  694 1230 21 19 60  0  0
 0  0      0 828776   6908  89060    0    0     0     0  694 1236 26 14 60  0  0
 0  0      0 828776   6908  89064    0    0     0     0  685 1261 29 13 58  0  0
 0  0      0 828796   6916  89068    0    0     0    16  670 1230 27 11 62  0  0
 2  0      0 828436   6916  89072    0    0     0     0  669 1207 25 14 61  0  0
 0  0      0 828796   6916  89076    0    0     0     0  685 1224 24 15 61  0  0
 0  0      0 828796   6916  89080    0    0     0   116  683 1221 23 16 61  0  0
 0  0      0 828796   6916  89084    0    0     0     0  692 1247 21 20 59  0  0
 0  0      0 828652   6924  89088    0    0     0    32  700 1298 29 13 58  0  0
 0  0      0 828672   6924  89088    0    0     0     0  651 1204 22 14 63  0  0
 0  0      0 828652   6924  89092    0    0     0     0  674 1181 20 20 60  0  0
 1  0      0 828672   6924  89096    0    0     0     0  680 1213 25 15 60  0  0
 1  0      0 828436   6924  89100    0    0     0     0  687 1246 21 19 60  0  0
 0  0      0 828656   6932  89108    0    0     0    16  683 1283 28 14 58  0  0
 2  0      0 828312   6932  89112    0    0     0     0  656 1226 27 13 61  0  0
 0  0      0 828548   6932  89116    0    0     0     0  679 1227 24 17 59  0  0
 0  0      0 828528   6932  89120    0    0     0     0  679 1226 25 16 59  0  0
 0  0      0 828548   6932  89124    0    0     0     0  668 1199 25 13 62  0  0
 0  0      0 828528   6940  89128    0    0     0    12  679 1240 21 20 59  0  0
 0  0      0 828544   6940  89132    0    0     0     0  681 1246 24 17 59  0  0
 0  0      0 828672   6940  89136    0    0     0     0  672 1254 30 11 59  0  0
 0  0      0 828672   6940  89136    0    0     0    64  669 1214 27 12 61  0  0
 0  0      0 828672   6940  89140    0    0     0     0  673 1231 24 16 60  0  0
 4  0      0 828520   6948  89144    0    0     0    40  690 1262 28 13 59  0  0
 3  0      0 828220   6948  89148    0    0     0     0  683 1253 27 13 60  0  0
 0  0      0 828600   6948  89152    0    0     0     0  691 1277 29 11 59  0  0
 2  0      0 828256   6948  89156    0    0     0     0  661 1217 28 13 59  0  0
 0  0      0 828596   6948  89160    0    0     0     0  687 1231 23 18 59  0  0
 0  0      0 828468   6956  89164    0    0     0    16  701 1288 30 14 56  0  0
 0  0      0 828468   6956  89168    0    0     0     0  676 1235 26 14 61  0  0
 0  0      0 828528   6956  89172    0    0     0     0  690 1270 28 13 60  0  0
 0  0      0 828544   6956  89176    0    0     0    48  693 1271 26 15 59  0  0
 0  0      0 828400   6956  89180    0    0     0     0  672 1260 30 11 59  0  0
 0  0      0 828400   6964  89180    0    0     0    32  682 1249 25 15 60  0  0
 2  0      0 828400   6964  89184    0    0     0     0  685 1248 29 12 59  0  0
 2  0      0 828400   6964  89188    0    0     0     0  693 1250 26 16 58  0  0
 2  0      0 828400   6964  89192    0    0     0     0  696 1263 28 13 59  0  0
 1  0      0 828184   6964  89196    0    0     0     0  702 1294 30 12 58  0  0
 0  0      0 828400   6972  89200    0    0     0    16  704 1283 29 14 57  0  0
 0  0      0 828400   6972  89204    0    0     0     0  679 1230 24 17 59  0  0
 0  0      0 828400   6972  89208    0    0     0     0  683 1258 27 14 59  0  0
